>>> start to training
MP-T Epoch [278/1000], Loss: nan, running time: 0:00:26.3
MP-T Epoch [279/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [280/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [281/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [282/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [283/1000], Loss: nan, running time: 0:00:27.3
MP-T Epoch [284/1000], Loss: nan, running time: 0:00:27.4
MP-T Epoch [285/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [286/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [287/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [288/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [289/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [290/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [291/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [292/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [293/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [294/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [295/1000], Loss: nan, running time: 0:00:27.3
MP-T Epoch [296/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [297/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [298/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [299/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [300/1000], Loss: nan, running time: 0:00:26.6
record checkpoint at: /exafs1/well/rittscher/users/lec468/PanoPath-Project/st-he/models/CLIP_CtxI-ViT16-224-h4_d3_CtxI-ViT16-224-h4_d3[10]2024-05-23[100]2024-05-23[200]2024-05-23[300]2024-05-23.pth
MP-T Epoch [301/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [302/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [303/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [304/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [305/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [306/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [307/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [308/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [309/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [310/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [311/1000], Loss: nan, running time: 0:00:26.3
MP-T Epoch [312/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [313/1000], Loss: nan, running time: 0:00:27.2
MP-T Epoch [314/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [315/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [316/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [317/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [318/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [319/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [320/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [321/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [322/1000], Loss: nan, running time: 0:00:26.3
MP-T Epoch [323/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [324/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [325/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [326/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [327/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [328/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [329/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [330/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [331/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [332/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [333/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [334/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [335/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [336/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [337/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [338/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [339/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [340/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [341/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [342/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [343/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [344/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [345/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [346/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [347/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [348/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [349/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [350/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [351/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [352/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [353/1000], Loss: nan, running time: 0:00:27.0
MP-T Epoch [354/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [355/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [356/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [357/1000], Loss: nan, running time: 0:00:27.3
MP-T Epoch [358/1000], Loss: nan, running time: 0:00:27.1
MP-T Epoch [359/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [360/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [361/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [362/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [363/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [364/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [365/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [366/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [367/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [368/1000], Loss: nan, running time: 0:00:27.3
MP-T Epoch [369/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [370/1000], Loss: nan, running time: 0:00:26.4
MP-T Epoch [371/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [372/1000], Loss: nan, running time: 0:00:26.9
MP-T Epoch [373/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [374/1000], Loss: nan, running time: 0:00:26.6
MP-T Epoch [375/1000], Loss: nan, running time: 0:00:26.5
MP-T Epoch [376/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [377/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [378/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [379/1000], Loss: nan, running time: 0:00:26.7
MP-T Epoch [380/1000], Loss: nan, running time: 0:00:26.8
MP-T Epoch [381/1000], Loss: nan, running time: 0:00:26.3
